CourseTitle,Description,Availability,Cost
C# Basics,In this course you will gain all the knowledge you will need to build an interactive command line program in C#. No prior programming experience is required. You'll create a program that keeps a ru...,On demand,$25/mo
Java Basics,In this course you will gain all the knowledge you will need to build an interactive command line program in Java.  No prior programming experience is required.  You will create an interactive game...,On demand,$25/mo
Mindfulness for Wellbeing and Peak Performance,"Learn mindfulness techniques to reduce stress and improve performance 

 Stressed by the pace of modern life? Mindfulness might be the answer.  Research shows that when you’re not deliberately payi...",Upcoming,Free
Introduction to Probability - The Science of Uncertainty,"The world is full of uncertainty: accidents, storms, unruly financial markets, noisy communications. The world is also full of data. Probabilistic modeling and the related field of statistical infe...",On demand,Free
Existential Well-being Counseling: A Person-centered Experiential Approach,"This humanities course offers you the opportunity to explore what really matters in life and teaches you how to nurture your well-being and enhance the well-being of others. 

 We will address th...",On demand,Free
sec.edu - Security Engineering - Applied Cyber Security,"UNSW in proud partnership with the CBA are releasing a sequence of public courses in cyber security, under the banner of the SecEDU  'Security Engineering Capability' program.   
 The first course ...",On demand,Free
Foundations of Computer Science for Teachers,"Thinking about teaching Computer Science, or incorporating CS into a subject you already teach? CS skills are fundamental to student success and you can teach it! 

 This course is intended for p...",On demand,Free
The Ancient Greek Hero in 24 Hours,"Explore what it means to be human today by studying what it meant to be a hero in ancient Greek times. 
 
In this introduction to ancient Greek culture and literature, learners will experience, i...",On demand,Free
The Science of Gastronomy,"This course introduces a number of basic scientific principles underpinning the methodology of cooking, food preparation and the enjoyment of food. All topics covered have a strong basis in biology...",Upcoming,Free
Chinese Thought: Ancient Wisdom Meets Modern Science - Part 2,"This course is designed to give students a thorough introduction to early (pre-221 BCE) Chinese thought, its contemporary implications, and the role of religion in human well-being. Important theme...",Upcoming,Free
4G Network Essentials,"4G is the cutting-edge network technology that links millions of smartphones to the internet. But how does it actually work? 

 Ideal for network engineers, sales engineers, application developer...",On demand,Free
Computation Structures - Part 1: Digital Circuits,"Digital systems are at the heart of the information age in which we live, allowing us to store, communicate and manipulate information quickly and reliably. This computer science course is a bottom...",On demand,Free
Ecodesign for Cities and Suburbs,"Too often modern cities and suburbs are disorganized places where most new development makes daily life less pleasant, creates more traffic congestion, and contributes to climate change. This trend...",In Session,Free
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),"What you’ll achieve:
In this project-centered course* you will build a modern computer system, from the ground up. We’ll divide this fascinating journey into six hands-on projects that will take yo...",Upcoming,Free
Reconciliation Through Indigenous Education,"This course will help you envision how Indigenous histories, perspectives, worldviews, and approaches to learning can be made part of the work we do in classrooms, organizations, communities, and o...",Upcoming,Free
Lessons from Ebola: Preventing the Next Pandemic,"Like no other event in recent history, the 2014 Ebola outbreak has made clear the fragility of existing health systems. While responding to the current epidemic is critical, we also have an opportu...",On demand,Free
Quantum Mechanics for Everyone,Quantum Mechanics for Everyone is a four-week long MOOC that teaches the basic ideas of quantum mechanics with a method that requires no complicated math beyond taking square roots (and you can use...,In Session,Free
Justice,"Taught by lauded Harvard professor Michael Sandel, Justice explores critical analysis of classical and contemporary theories of justice, including discussion of present-day applications. Topics inc...",In Session,Free
